ord__Education,onehot__Gender_Female,onehot__Gender_Male,onehot__Interest_Arts,onehot__Interest_Others,onehot__Interest_Sports,onehot__Interest_Technology,onehot__Interest_Unknown,minmax__Age,std__Introversion Score,std__Sensing Score,std__Thinking Score,std__Judging Score,True_Label,Predicted_Label
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.17948717948717946,0.5572904267819084,0.6755918372048173,0.8128064081014311,0.9079029305476776,3,3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12820512820512825,1.3864112520404908,0.5778365396325711,1.4250851026290043,0.04962954898442588,3,3
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.10256410256410259,-0.41160408482562244,-1.507441846245699,-1.2212661221481813,-0.33164250529055367,9,9
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.10256410256410259,-0.07905104154621803,0.40140589841160196,1.6954039081286805,0.10995136372482041,3,3
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1538461538461539,-1.3031065102514314,-0.01046389415819807,0.9099885530364621,0.17253263791013243,11,11
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102566,-0.4343741995337997,0.15869807266401117,-0.48504814524054213,0.055426491217812214,9,9
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25641025641025644,1.4684826504407045,0.6740265656452907,-0.5101873125720424,0.08839696983449966,1,1
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23076923076923078,-1.6667845940492487,-1.0080034465077363,-0.25985580811087555,-0.5819019944211425,9,9
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.358974358974359,-0.007473485340136306,-0.3528242961794387,-1.3652827852732925,-0.36090737082219754,9,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.051282051282051266,-1.3656680839655233,-0.13796153910195663,-1.413873857740808,0.39116498886526857,9,9
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,0.8580193015339245,-1.0461569668745474,0.8916711911729504,-0.29522729198350983,3,3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12820512820512825,-0.11477925162867929,2.5766509354555063,-0.18598698414795947,-0.7401617282383535,1,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17948717948717946,0.7328200114512977,1.4529566478355929,-1.4224522174862317,-1.132451879866698,5,5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12820512820512825,0.07549431976465518,-0.5484740224532298,-0.7228204598482512,-0.5393453403362979,1,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1538461538461539,-0.11791148355008085,-0.23346846388198866,-0.8194829141686565,1.2090416727756312,0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10256410256410259,-0.8185969559122126,-1.0523592126908006,0.23051386203776916,0.049245304520790706,9,9
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17948717948717946,1.2164919965916448,0.7848127150330305,-0.09540837462277425,0.3186806045607474,1,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1538461538461539,-1.4624177095244812,1.5322477059373427,-0.19535527362761462,0.5703253186874429,9,13
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20512820512820512,0.15672814896599666,0.5126546934587738,1.2119565169668518,0.17986637612752734,3,3
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12820512820512825,-0.9603330461279401,0.4394051128352848,-1.6137780495627814,0.0513753331790691,9,9
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.358974358974359,-1.0053160497549622,-0.6442990381067781,0.03214102522689298,-0.91158592321391,9,9
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10256410256410259,1.0656776253484739,0.24284521098116332,-1.7004693732905654,-0.7907557508708976,1,1
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.30769230769230765,0.9997900020471261,-0.05311938761001345,-0.5261764604820305,0.16351443852256234,1,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102566,-0.37058049922963165,2.039517979881032,-0.21689471730180673,-2.3522367190106173,1,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17948717948717946,-0.8805493883907611,-0.534144868326322,-0.5205326204071941,-0.6683549086857578,9,9
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,1.1929223840118166,-0.6686647711457883,-1.2994171967756143,0.12347848251806691,1,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20512820512820512,-1.5355492680871479,0.021218795020922707,0.7210636915994841,1.037174087217171,10,10
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.20512820512820512,1.3239950415757895,-0.1364620021910311,-1.5237364536727096,-1.500918948691155,1,1
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25641025641025644,1.6264717363502452,-0.7340575460968929,1.5885174071165364,0.9810782474532805,3,3
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.6927551310953382,0.21759256248546216,1.619799317512914,1.0889544251765244,2,2
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.10256410256410259,-0.2703248505365525,0.9703942062557854,1.7302578253495866,0.9217087251100501,3,11
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,-1.5086916772472854,0.13756705293679294,-0.30321186378706017,-0.18741260433173015,9,9
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.10256410256410259,-1.6592326271404112,-1.8095533964849133,-1.6996378683071642,-1.5999322521322115,9,9
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17948717948717946,-1.4082560550073413,-0.3428800768482382,-1.5717350788395514,0.8200630040287247,9,9
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4615384615384615,0.05844874825868588,1.0874466283212916,-0.9789655699850324,0.8111423986755681,5,5
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,-0.7367955178322967,0.44518845168667465,1.6041635592208714,0.4947121739388522,11,11
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30769230769230765,-0.8408306110095419,0.23417156296095934,1.2194019511723913,1.800241027261921,10,10
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17948717948717946,-1.5608009411242145,0.24939544193640245,1.5079930786823124,0.21391709726764382,11,11
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2820512820512821,-0.8270453295256281,1.188937178586628,0.9363472610102844,-0.26300111165675616,15,15
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.9543501424934465,0.9902149565034328,0.3542556619842776,-1.7857085187325157,3,3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102566,-0.7990905922558383,0.5593219728619271,0.119255030654573,1.772884445819406,9,9
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,-1.1026055959545153,1.6628295585553223,-0.8035769167570084,-0.2877247420589608,9,9
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.17948717948717946,1.0583471643434705,0.7373840982133916,1.5745862340404666,0.8456068509941416,3,3
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4102564102564103,-0.8354660149010643,0.4482932786786863,0.8452905361196434,0.44769193786455025,11,11
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666667,-1.095731990876169,-1.5347766674873,-0.935748098472748,-0.14621647223464868,9,9
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20512820512820512,-0.3611526541977006,0.0496856416419798,1.183442825244381,1.4484908343757477,11,3
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.10256410256410259,0.459682465845594,0.15109175376141562,-1.2114127880948755,-0.48693889851240874,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2820512820512821,-0.2444882634721745,-1.195577260076196,1.4914149480757481,-1.1385601268707293,3,3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1538461538461539,1.7102251952076974,0.6007832678867899,-1.654941010845245,0.8921488958523853,1,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.20512820512820512,0.4562075919791994,-1.2404082316877425,0.28395191563769484,-0.14932805064565371,1,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4615384615384615,-0.7660342971383737,0.12104736101761514,0.9501363853183568,0.8681039019773155,11,11
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12820512820512825,1.6989941536773687,-0.23141169418125784,0.6036551879432155,0.6154877069064741,3,3
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666667,-1.2741792236226208,0.27591989745023704,0.7305567068266491,2.017417590746739,11,11
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17948717948717946,-1.1824411691379053,0.5471131549225742,0.35793160693173093,1.049885996308593,11,11
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.23076923076923078,-0.3817180929567807,2.260022530972204,-0.8796977333833031,0.563624229615254,13,13
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.17948717948717946,1.4811188700484799,0.7866881702118347,-0.8943183626747765,-0.2574601738203735,1,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17948717948717946,0.008343420605504335,0.2664530209128037,1.434512290378317,-1.425321792351692,3,3
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5128205128205128,0.2216882162950401,0.7312231021822365,-1.4241221566612294,-0.8749469352921005,1,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,0.3819927311055954,1.1950675492206697,-1.4945644871717128,0.7789073369195597,5,5
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.20512820512820512,-0.6158775215472101,0.17837757677207128,-0.15871362069239578,1.33177794777966,8,8
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5384615384615385,-1.3951837456513927,-1.0012662419412042,-1.1735723821419197,0.5881659267414339,8,8
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2820512820512821,-0.15170497800374283,-0.6697247084885496,-0.9384158436278274,1.5347070914295788,1,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.10256410256410259,-1.6059812234468387,1.3827800530206724,-0.7815662869255555,0.6478459198106172,9,9
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1538461538461539,-0.48145458718774914,-0.22960118155149298,0.46857720338966874,-2.049358398289186,9,9
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.7292378456627336,-0.04961004408782058,-1.1128482661249397,-0.48782443207490056,1,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2820512820512821,1.5679768725893541,0.7936211608023623,1.1875310580794378,-0.9952308947075416,3,3
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23076923076923078,-1.221575032491813,-0.7554119643346786,-1.3460369095116491,-0.43783181690740064,9,9
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.17948717948717946,-0.8724090464248647,0.7176751273520791,0.26323358313461154,-1.2912226202400205,9,9
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07692307692307693,0.37567981284632856,-0.238983083701281,0.7897702554571167,0.46361296230322946,3,3
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23076923076923078,-1.6359225917916387,-1.0915149268040585,0.5449162900741064,0.42936848995131927,11,11
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,-1.5616592765015707,-0.5627791771944222,-0.264695860035091,1.4139213265724553,8,8
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8205128205128205,0.2685228708369239,-0.009967448748401726,-0.03862351346465812,-3.015098386317943,1,1
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20512820512820512,1.6493456819508447,-0.2655272959369671,0.5428479214278954,0.9016226475834167,3,3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.10256410256410259,-0.4891346121972408,1.417158655980915,0.18016969989691575,0.45247223908718764,9,9
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.23076923076923078,-1.2826102920872993,-1.0115230374710424,-1.3342433971637402,0.4361825360486719,9,9
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.358974358974359,1.5753869372785478,-1.9087396994451538,-0.7160783402745055,1.6793824375265611,1,1
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25641025641025644,0.6684898515362822,-2.1757272075220353,0.0693751254627853,-2.3201492919580624,1,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.20512820512820512,1.2602532567178326,-0.13993444136580616,1.6123469540991797,-0.7954461776609107,3,3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.358974358974359,0.053987480914280725,0.47422590347500954,-1.4722281845550944,-0.6972950379413702,1,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.12820512820512825,-0.35786121490791845,-1.3808126332942279,-0.06898730377519668,0.23468262346473842,1,9
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1538461538461539,1.1474236869524317,-2.523332940007988,1.3672123557842715,0.2934152561933241,3,3
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10256410256410259,0.18123223957762374,1.3898181289550586,0.1342567663967719,-1.1098531045354059,3,3
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12820512820512825,0.6529186787027071,0.9448838694933358,-1.1516726196415872,0.6142318790577578,1,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.20512820512820512,0.263327865186069,1.477007722284712,-0.6646566862593278,-1.9555264274764506,5,5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.12820512820512825,-0.5908750426519566,-2.0914581410993387,-0.11045861482233824,0.24236729748269498,9,9
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.358974358974359,0.9900506643379283,0.07809722320112754,-1.3709855236177866,0.5570036097719141,1,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12820512820512825,-0.3394831469491981,-1.7374910526880618,-1.0236901442797317,0.839418604137292,9,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02564102564102566,0.3630470542683005,1.4783129195318678,1.4750897335683022,-0.8162660336629685,3,3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.17948717948717946,1.7305622060034493,-0.462010807488656,-1.3878269641357612,0.8416916861419333,1,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10256410256410259,-0.6300158280653592,0.5006725142368157,1.0796294280667242,-0.9766928637796485,11,11
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.12820512820512825,0.31672117109928527,-0.8643809521542607,0.22812328521049036,1.8532542865419066,0,0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.6866036671816589,-0.03283414814713725,-0.075459184229337,-1.5736488173211143,1,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12820512820512825,0.18773205344325042,0.18668486365713752,1.2942235412621217,-0.04298868523664088,11,3
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20512820512820512,-1.6601186507557468,0.48441951525384885,0.1833432772502307,-0.8143578259287746,11,11
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,-0.6982569515949425,-2.3138410054607013,0.7819506440090466,-2.8319686953266365,11,11
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,-0.6862541004309423,-0.5804727666634226,-0.2776326917351766,0.046978257148515265,1,9
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.051282051282051266,1.2772226855693591,0.6180761607034554,1.0936264286206467,-0.8966652379333993,3,3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.358974358974359,0.5722005429337289,-1.2403784493457632,0.9948644242171534,0.336038040261191,3,3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12820512820512825,-1.5799369745976162,1.2005639400110195,-1.3803399546810518,0.09413115579344607,13,9
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102566,-0.35415791307819516,-0.0024189932374968515,0.6875401823520201,-1.6309109903178642,11,3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25641025641025644,-0.5671808330012224,-0.6078363606019029,0.15614267048071467,0.7319554338807785,9,9
